,State,District,SOURCE,Latitude,Longitude,Well Depth,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pst_2015,Pst_2016,Pst_2017,Pst_2018,Pst_2015
162,gujarat,Sabarkantha,SGWB,23.91,72.95,60.0,16.0,16.1,19.2,18.3,20.4,7.7,13.5,7.8,15.5,8.1
163,gujarat,Sabarkantha,SGWB,23.94,73.11,60.0,16.4,19.2,21.9,20.3,25.2,8.4,13.9,5.4,17.9,12.6
164,gujarat,Sabarkantha,SGWB,23.99,73.06,60.0,15.6,17.8,19.8,16.7,22.6,4.8,8.9,1.4,4.6,1.8
165,gujarat,Sabarkantha,SGWB,24.0,72.99,50.0,11.0,10.3,10.2,10.0,11.6,5.4,5.6,1.2,5.9,3.6
166,gujarat,Sabarkantha,SGWB,23.4,72.79,60.0,81.4,84.8,85.1,85.9,88.5,70.9,90.1,77.9,80.8,82.9
167,gujarat,Gandhinagar,SGWB,23.22,72.77,60.0,92.79,92.84,93.64,94.49,93.29,92.64,93.14,93.79,92.39,86.89
168,gujarat,Gandhinagar,SGWB,23.33,72.66,59.45,89.05,88.6,88.1,88.8,88.6,88.05,87.85,87.6,87.3,86.45
169,gujarat,Gandhinagar,SGWB,23.2,72.65,54.14,102.7,105.15,106.9,105.5,107.9,99.4,99.25,99.9,102.6,100.3
170,gujarat,Gandhinagar,SGWB,23.14,72.64,48.35,66.3,69.1,70.4,69.5,73.85,65.7,67.3,65.2,67.0,69.4
171,gujarat,Gandhinagar,SGWB,23.11,72.64,112.0,81.1,81.25,83.6,82.6,85.9,78.45,79.1,80.3,80.8,82.8
172,gujarat,Gandhinagar,SGWB,23.26,72.57,60.0,114.35,117.3,119.9,121.6,125.4,112.9,115.0,116.0,118.2,119.3
